Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Lucas Paquetá,MF,28-308,4.0,4,233.0,2.6,0.0,1.0,0.0,0.0,0.0,0.39,Brazil
Danilo,DF,34-351,4.0,3,315.0,3.5,0.0,0.0,2.0,0.0,0.0,0.0,Brazil
Matheus Cunha,FW,27-035,4.0,3,233.0,2.6,3.0,0.0,0.0,0.0,1.16,0.0,Brazil
Rayan,FW,19-332,3.0,2,222.0,2.5,0.0,1.0,0.0,0.0,0.0,0.41,Brazil
Raphinha,"MF,FW",29-199,2.0,2,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Igor Thiago,FW,25-005,1.0,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Roger Ibanez,DF,27-220,1.0,1,45.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,Brazil
Endrick,FW,19-345,3.0,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Gabriel Martinelli,"FW,MF",25-013,3.0,0,77.0,0.9,1.0,0.0,0.0,0.0,1.17,0.0,Brazil
Fabinho,"DF,MF",32-251,3.0,0,71.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,Brazil
Luiz Henrique,"FW,MF",25-180,1.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Danilo Santos,MF,25-063,3.0,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Neymar,"FW,MF",34-146,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Éderson Silva,MF,26-359,1.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Alex Sandro,"DF,MF",35-156,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Gleison Bremer,DF,29-105,0.0,0,,,,,,,,,Brazil
Ederson Moraes,GK,32-318,0.0,0,,,,,,,,,Brazil
Léo Pereira,DF,30-151,0.0,0,,,,,,,,,Brazil
Wéverton,GK,38-200,0.0,0,,,,,,,,,Brazil
Diney,DF,31-169,4.0,4,390.0,4.3,0.0,0.0,1.0,0.0,0.0,0.0,Cabo Verde
Pico,DF,34-018,4.0,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Vozinha,GK,40-032,4.0,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Kevin Pina,MF,29-159,4.0,4,349.0,3.9,1.0,0.0,1.0,0.0,0.26,0.0,Cabo Verde
Ryan Mendes,"FW,MF",36-178,4.0,4,330.0,3.7,0.0,1.0,0.0,0.0,0.0,0.27,Cabo Verde
